epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,621.446,1.08468,0.69456,1.19768,0.95815,0.94466,0.97129,0.69836,0.88707,7.88588,1.00772,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,792.713,1.08875,0.69885,1.1997,0.95945,0.94402,0.972,0.69825,0.8861,7.89698,1.00715,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,961.97,1.08558,0.69246,1.19975,0.95954,0.94418,0.97188,0.69862,0.88552,7.9322,1.00646,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1131.93,1.08688,0.69205,1.20053,0.95788,0.94595,0.9718,0.69889,0.88501,7.84019,1.00588,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1302.22,1.08221,0.68865,1.19483,0.95908,0.94445,0.9697,0.69955,0.88426,7.79275,1.00519,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1470.8,1.07776,0.68569,1.19169,0.95979,0.94466,0.97169,0.69955,0.88347,7.72953,1.00473,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1638.97,1.07742,0.68897,1.1932,0.95906,0.9441,0.97157,0.70007,0.88303,7.67176,1.00413,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1807.6,1.07105,0.67814,1.18953,0.95707,0.94692,0.97015,0.69981,0.88199,7.61768,1.00343,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1978.61,1.07534,0.67947,1.19039,0.95877,0.94667,0.972,0.70069,0.88114,7.51278,1.00269,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2147.6,1.06924,0.67592,1.18854,0.95943,0.94739,0.97053,0.70119,0.88018,7.43121,1.0019,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2316.33,1.06699,0.66987,1.18575,0.95873,0.94739,0.97263,0.70171,0.8793,7.31147,1.0011,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2484.98,1.06675,0.67022,1.18681,0.9589,0.94764,0.97111,0.70219,0.87876,7.25224,1.00108,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2653.86,1.06726,0.66933,1.18664,0.95848,0.94704,0.97128,0.70182,0.87853,7.1728,1.00074,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2822.98,1.06015,0.6649,1.18374,0.95876,0.94691,0.97301,0.7022,0.87798,7.1127,1.00031,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2991.09,1.06284,0.66573,1.18149,0.95942,0.947,0.97333,0.70316,0.87715,7.02231,0.99966,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
